id,name,desc,resource,tire,resourcePerSecond,cost
gem,Diamond Encrusted Drill,"The Diamond Encrusted Drill is one of the strongest drills in the solar system, and as such, can collect Gems faster than anything before it.",gem,3,"{""energy"": -15, ""gem"": 89}","{""lunarite"": 3400, ""gem"": 8000, ""silicon"": 4500}"
gem,Carbyne Drill,"Carbyne Drills one of the strongest drills in the solar system, and as such, can collect Gems faster than anything before it.",gem,4,"{""energy"": -40, ""gem"": 358}","{""lunarite"": 21000, ""gem"": 27000, ""meteorite"": 800}"
charcoal,Woodburner,"Build a shovel for your woodburner.",charcoal,1,"{""wood"": -2, ""charcoal"": 1}","{""metal"": 10, ""wood"": 5}"
charcoal,Furnace,"Furnaces use electric heaters to produce heat to turn Wood into Charcoal. Because of the increased heat, the process is more efficient.",charcoal,2,"{""energy"": -3, ""wood"": -6, ""charcoal"": 4}","{""metal"": 80, ""wood"": 40, ""oil"": 100}"
charcoal,Industrial Kiln,"These large kilns are much for effective than previous methods of creating charcoal and use less wood to make the same amount as a furnace.",charcoal,3,"{""energy"": -13, ""wood"": -56, ""charcoal"": 53}","{""lunarite"": 3500, ""gem"": 6200, ""silicon"": 3800}"
charcoal,Forest Fryer,"Forests? What forests?",charcoal,4,"{""energy"": -34, ""wood"": -148, ""charcoal"": 210}","{""lunarite"": 15800, ""lava"": 12500, ""meteorite"": 560}"
wood,Woodcutter,"Build an axe for your woodcutter.",wood,1,"{""wood"": 1}","{""metal"": 10, ""wood"": 5}"
wood,Laser Cutter,"Laser Cutters slice trees (and fingers) quicker than axes and produce a lot more wood.",wood,2,"{""energy"": -4, ""wood"": 6}","{""metal"": 50, ""gem"": 90, ""oil"": 40}"
wood,Mass Deforester,"This machine is the reason we're losing our rainforests. At least we get lots of wood!",wood,3,"{""energy"": -16, ""wood"": 74}","{""lunarite"": 3000, ""titanium"": 2700, ""silicon"": 2500}"
wood,Biomass Infuser,"Creates Wood using old, useless materials found everywhere on Earth by crushing them and packing what remains as densely as possible until it can be used as Wood again.",wood,4,"{""energy"": -43, ""wood"": 297}","{""lunarite"": 16000, ""oil"": 31200, ""meteorite"": 490}"
silicon,Empowered Blowtorch,"This type of blowtorch instantly turns sand into Silicon, but only on a small scale. To make it, extraterrestrial resources are required.",silicon,1,"{""silicon"": 1}","{""lunarite"": 150, ""titanium"": 30}"
silicon,Seaside Scorcher,"This tool almost melts parts of beaches to get silicon at a larger scale.",silicon,2,"{""energy"": -18, ""silicon"": 9}","{""lunarite"": 500, ""gem"": 1200, ""oil"": 1600}"
silicon,Beach Annihilator,"This weapon of mass destruction has been re-labelled and now hovers above coast-lines, or what is now left of them.",silicon,3,"{""energy"": -53, ""silicon"": 40}","{""lunarite"": 3000, ""gem"": 8300, ""silver"": 2400}"
silicon,Desert Destroyer,"This large ship orbits around the planet, focused in the Sahara Desert, tearing up sand from Earth and turning it into Silicon under intense heat.",silicon,4,"{""energy"": -138, ""silicon"": 157}","{""lunarite"": 20000, ""silicon"": 17700, ""meteorite"": 400}"
lunarite,Native Moon Worker,"Bribe local workers to mine your Lunarite.",lunarite,1,"{""lunarite"": 1}","{""gem"": 500}"
lunarite,Low-Gravity Drill,"These drills practically float!",lunarite,2,"{""energy"": -20, ""lunarite"": 10}","{""metal"": 1000, ""gem"": 600, ""oil"": 400}"
lunarite,Moon Quarry,"This quarry tears up the surface of the moon so much that it can be seen from Earth.",lunarite,3,"{""energy"": -70, ""lunarite"": 53}","{""lunarite"": 8000, ""gem"": 5000, ""silicon"": 3500}"
lunarite,Planetary Excavator,"This large machine dives deep into the Earth to find large pools of Lunarite found near the core. This is originally where the metal on the Moon comes from.",lunarite,4,"{""energy"": -182, ""lunarite"": 207}","{""titanium"": 45000, ""ice"": 37000, ""meteorite"": 500}"
methane,Vacuum Cleaner,"Sucks in methane and cleans the planet at the same time!",methane,1,"{""methane"": 1}","{""lunarite"": 50}"
methane,Suction Excavator,"Sucks more than anything!",methane,2,"{""energy"": -16, ""methane"": 8}","{""lunarite"": 10000, ""gem"": 800, ""oil"": 600}"
methane,Space Cow Plantation,"These hold cows genetically moodified to produce methane constantly",methane,3,"{""energy"": -49, ""methane"": 37}","{""lunarite"": 10000, ""titanium"": 9000, ""silicon"": 4100}"
methane,Hydrothermal Vent,"Collect gas from deep sea vents on the ocean floor of Titan.",methane,4,"{""energy"": -132, ""methane"": 149}","{""lunarite"": 52000, ""helium"": 47000, ""meteorite"": 390}"
titanium,Explorer,"Hire explorers to search for Titanium on the surface, uncovered by winds on Mars.",titanium,1,"{""titanium"": 1}","{""gem"": 1000}"
titanium,Lunarite Drill,"These Lunarite Drills are extremely powerful, needed to mine out Titanium from inside Mars' crust.",titanium,2,"{""energy"": -13, ""titanium"": 9}","{""lunarite"": 200, ""gem"": 800, ""oil"": 1000}"
titanium,Penta-Drill,"This is a mining machine modified to have 5 drills on its face. This allows for a massive increase in resources gained per second.",titanium,3,"{""energy"": -46, ""titanium"": 49}","{""lunarite"": 14000, ""gem"": 11000, ""silicon"": 5600}"
titanium,Drill of Titans,"This mighty drill is said to have been wielded by Titans themselves, many milennia ago.",titanium,4,"{""energy"": -123, ""titanium"": 197}","{""lunarite"": 63000, ""gold"": 27000, ""meteorite"": 600}"
gold,Rocket Droid,"Powered by Methane, this droid scouts the asteroids for gold deposits.",gold,1,"{""gold"": 1}","{""gem"": 200, ""methane"": 50}"
gold,Asteroid Destroyer,"Mines through asteroids to find Gold. It is much more effective than the simple droid.",gold,2,"{""energy"": -19, ""gold"": 8}","{""lunarite"": 500, ""gem"": 1500, ""oil"": 1000}"
gold,Death Star Jr,"That's no moon! That's a Space Station! This cuts through asteroids to expose all of the Gold in the centers.",gold,3,"{""energy"": -81, ""gold"": 51}","{""lunarite"": 17000, ""silver"": 11500, ""silicon"": 8200}"
gold,Chronal Actuator,"Speeds up time through quantum physics in order to produce even more Gold.",gold,4,"{""energy"": -223, ""gold"": 211}","{""lunarite"": 61000, ""helium"": 15700, ""meteorite"": 600}"
silver,Scout Ship,"The Scout Ship searches through the asteroid field for pieces of silver embedded in asteroids.",silver,1,"{""silver"": 1}","{""lunarite"": 100, ""titanium"": 20}"
silver,Interplanetary Laser,"Cuts through asteroids to find silver deposits in their cores.",silver,2,"{""energy"": -24, ""silver"": 13}","{""lunarite"": 350, ""gem"": 900, ""oil"": 1200}"
silver,Big Bertha,"This large, space drill, named after the World War One Howitzer built almost a milenia ago, is a silver seeking machine specially designed for mining asteroids.",silver,3,"{""energy"": -65, ""silver"": 53}","{""lunarite"": 19500, ""silver"": 18200, ""silicon"": 11000}"
silver,Atomic Cannon,"This powerful cannon orbits Neptune and can atomise the surface of asteroids, revealing the silver within.",silver,4,"{""energy"": -170, ""silver"": 208}","{""lunarite"": 85100, ""oil"": 93800, ""meteorite"": 520}"
hydrogen,Hydrogen Collector,"This collector travels around Jupiter seeking Hydrogen to store to bring back to Earth.",hydrogen,1,"{""hydrogen"": 1}","{""lunarite"": 6000, ""titanium"": 4800}"
hydrogen,Gaseous Magnet,"The magnet attracts the Hydrogen to it to increase the amount collected per second.",hydrogen,2,"{""energy"": -63, ""hydrogen"": 5}","{""lunarite"": 10800, ""titanium"": 9600, ""silicon"": 6600}"
hydrogen,Electrolytic Cell,"These are made here on Earth and can turn water into hydrogen with a constant supply of Energy.",hydrogen,3,"{""energy"": -234, ""hydrogen"": 28}","{""silver"": 37200, ""gold"": 34200, ""silicon"": 25800}"
hydrogen,Hindenburg Excavation,"Somehow, it works.",hydrogen,4,"{""energy"": -613, ""hydrogen"": 113}","{""lunarite"": 172000, ""methane"": 134000, ""meteorite"": 710}"
helium,Helium Drone,"The Helium Drone scouts out the area on Saturn and picks out spots high in Helium which are then mined slowly by it.",helium,1,"{""helium"": 1}","{""lunarite"": 8400, ""titanium"": 6000}"
helium,Helium Tanker,"This huge tanker holds large amounts of Helium and transports it from Saturn to Earth through the vacuum of space.",helium,2,"{""energy"": -72, ""helium"": 11}","{""lunarite"": 12600, ""titanium"": 10200, ""silicon"": 8400}"
helium,Morphic Compressor,"The Compressor packs helium densely into a small space so that it can be easily transported back to Earth.",helium,3,"{""energy"": -248, ""helium"": 57}","{""lunarite"": 63000, ""titanium"": 43800, ""silicon"": 35400}"
helium,Gas Giant Skimmer,"Flying into Gas Giants' atmospheres with a big bucket is the best plan we've had yet!",helium,4,"{""energy"": -670, ""helium"": 232}","{""lunarite"": 255000, ""titanium"": 173000, ""meteorite"": 770}"
ice,Ice Pickaxe,"The Ice Pickaxe is the simplest way of mining frozen water, and although it is the cheapest, it is the slowest.",ice,1,"{""ice"": 1}","{""lunarite"": 17800, ""gem"": 19300}"
ice,Ice Drill,"The Ice Drill is more effective than the Pickaxe and gains much more Ice every second. However, it does use electricity.",ice,2,"{""energy"": -83, ""ice"": 9}","{""lunarite"": 23900, ""titanium"": 21200, ""silicon"": 19600}"
ice,Ocean Freezer,"With advanced technology, you are now able to turn Earth's water into high-quality Ice, previously only found on Pluto.",ice,3,"{""energy"": -397, ""ice"": 65}","{""lunarite"": 117000, ""titanium"": 86000, ""silicon"": 73000}"
ice,Mr Freeze,"This robot is the coolest guy in the solar system.",ice,4,"{""energy"": -1135, ""ice"": 278}","{""wood"": 379000, ""helium"": 14000, ""meteorite"": 1500}"
meteorite,Meteorite Printer,"Contruct an automated way of producing meteorite without you having to do anything.",meteorite,1,"{""plasma"": -3, ""meteorite"": 1}","{""lunarite"": 100000, ""silicon"": 60000}"
meteorite,Meteorite Web,"The Meteorite Web uses nano-fibres made while submerged in highly radioactive liquids to become strong enough to physically catch meteors from the Asteroid Belt. Plasma is required to refine the asteroids into Meteorite Ore, which can be usable.",meteorite,2,"{""plasma"": -21, ""meteorite"": 8}","{""lunarite"": 940000, ""uranium"": 490000, ""silicon"": 510000}"
science,Home Science Kit,"Build a small laboratory of your very own to start producing science. Each one produces 0.1 science per second.",science,1,"{""science"": 0.1}","{""metal"": 20, ""gem"": 15, ""wood"": 10}"
science,High School Science,"Build a more effective laboratory to continue your quest into the realm of science at a significantly faster speed. Each one produces 1 science per second.",science,2,"{""science"": 1}","{""metal"": 1000, ""gem"": 200, ""wood"": 500}"
science,University Laboratory,"Build an even better version of the old laboratory to further your exploration of the realm of science. Each one produces 10 science per second.",science,3,"{""science"": 10}","{""metal"": 17000, ""gem"": 4700, ""wood"": 9600}"
rocketFuel,Chemical Plant,"Chemical plants are used to make rocket fuel automatically.",rocketFuel,1,"{""rocketFuel"": 0.2}","{""metal"": 1000, ""gem"": 750, ""wood"": 500}"
rocketFuel,Oxidisation Chamber,"Oxidisation Chambers make rocket fuel faster and more efficiently than chemical plants.",rocketFuel,2,"{""rocketFuel"": 1.5}","{""metal"": 12000, ""gem"": 8300, ""wood"": 6800}"
rocketFuel,Hydrazine Catalyst,"These speed up the chemical reactions needed to make rocket fuel by using greenhouse gases such as methane.",rocketFuel,3,"{""rocketFuel"": 20}","{""titanium"": 140000, ""silicon"": 96300, ""gold"": 78600}"
